id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	created_at
1	-se		X	semente de						
2	aeli		ADV	aqui	alixeka nato  kolitokwa nowatoli = estou aqui na roça de milho do cunhado					
3	ahakahã		V	roubar						
4	ahakata		V	acender fogo, fazer fogo						
5	aherali			rápido						
6	aherarese			apressado						
7	ahero		S	avó	ahero enaweta nato = foi minha avó que me criou					
8	ahete		S	urucum		Bixa orellana	https://pt.wikipedia.org/wiki/Urucum	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Urucum_-_fruto_vermelho.jpg/960px-Urucum_-_fruto_vermelho.jpg		
9	ahetese		S	semente de urucum						
10	aheti		S	osso						
11	ahirata		S	jogo de bola						
12	ahokoda		S	lagoa	hane ahokoda wakionana noheroñali nawe kakwa = hoje fomos bater timbó na  lagoa com meus amigos					
13	ahokodaikioni		S	brejo			https://pt.wikipedia.org/wiki/Pântano			
14	ahotene		V	plantar						
15	ahotene		V	plantar, enterrar						
16	aikiolikõ		S	gengiva			https://pt.wikipedia.org/wiki/Gengiva			
17	aikiona		S	pesca com timbó						
18	aikiore		S	círculo						
19	aikiyota		V	cortar cabelo						
20	ailikiahã		V	peidar						
21	aina		V	vir						
22	ainakata		V	cozinhar						
23	ainakwa		V	voar; ficar em pé						
24	aiotene		V	secar						
25	aitakotene		V	lavar						
26	aixowi		V	furar						
27	akakawatene		V	sentir saudade						
28	akakwalikaseratene		V	perturbar	netane akakwalikaserana nato =  meu filho está me perturbando					
29	akaoxa		V	gritar						
30	akioli		S	jabuti	akioli diwana awe yakaha = as crianças mataram uma tartaruga	Chelonoidis carbonaria/Cheleonoidis denticulata	https://pt.wikipedia.org/wiki/Jabuti	https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Red_Footed_Tortoise_2.jpg/330px-Red_Footed_Tortoise_2.jpg		
31	ako		POSP	dentro de						
32	akohã		V	banhar						
33	akola		S	escorpião	akola maine matalohise ako = um  escorpião morreu dentro de panela	Ordem: Scorpiones	https://pt.wikipedia.org/wiki/Escorpião	https://upload.wikimedia.org/wikipedia/commons/f/fe/Scorpion_Photograph_By_Shantanu_Kuveskar.jpg		
34	akolatene		V	trazer, levar						
35	akoseti		S	buceta	akoseti makanasetaka kanawalihi serolane ako = a foto da buceta  no celular do  kanawalihi					
36	akote			muitos, muitas						
37	ala		V	pular						
38	alakaxi		S	vermelho						
39	alakota		PRON	onde?						
40	alakwatene		V							
41	alitine		S	gavião real	alitine neyahalita nodane = vou alimentar gavião real			https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Harpia_chega_ao_ninho_com_um_macaco-prego.jpg/500px-Harpia_chega_ao_ninho_com_um_macaco-prego.jpg		
42	alitine / ixine nawe ota		S	garra	akotekase kaxata ixine otakase = a garra da onça é bem grande			https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Cat_claw_closeup.jpg/500px-Cat_claw_closeup.jpg		
43	alokwaha		V	urinar, mijar	halokwaha hetati laka, weyane wehakolonakoneta = você precisa urinar antes de sairmos de casa					
44	amamena		V	atrapalhar						
45	amanema		S	devagar	amanema kaxata xameyali atonahaline aweitaho holi nowaowa = uma anta estava andando devagar					
46	añakwa		V	voar	noholi kotalase añakwa noneti = meu pássaro voou e foi embora					
47	anolokwari		S	idade na qual a criança senta e engatinha					Nesta fase, a criança recebe um par de brincos de conchas além de mais colares. As meninas usam cinto de tucum e pintura corporal de urucum, feita com palha de buriti.	
48	aokotene		V	bater						
49	aõla			leve	howaxati aõla = a lenha está leve					
50	aõre		S	chefe						
51	areyakatali		S	invejoso						
52	asewene		V	ouvir	haita enemali hasema? =  você ouviu o barulho dele?					
53	atahã		V	esperar						
54	atahiwe		S	flor	kahaka yowali howana atahewe nowa nolani = ontem eu foi busquei a flor para meu irmão					
55	atahona		S	folha						
56	atakate		S	árvore	nowatoli atakate ereikiona = meu cunhado está derrubando uma árvore					
57	atana		S	trovão	atana one dakwase = o trovão está anunciando chuva					
58	atatana		S	galho	nohonane tana holoti takiaseta =  o vento quebrou o galho da minha planta					
59	ateronete		V	tocar flauta de quatro furos						
60	atetoarese		S	criança que fica em pé						
61	atikiata		V	mandar						
62	atikioli		S	tamanduá-bandeira		Myrmecophaga tridactyla	https://pt.wikipedia.org/wiki/Tamandu%C3%A1-bandeira	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Myresluger2.jpg/850px-Myresluger2.jpg		
63	atira		S	galho						
64	atoli		S	avô	atoli nane nodena = vou para casa do meu avô					
65	atoli		S	avô						
66	atonaha		V	andar, caminhar						
67	atonaharese		S	criança que já caminha					Recebe tornozeleiras de algodão. As meninas usam argolas de borracha na perna, abaixo do joelho. Começa a comer peixe.	
68	atosairi		S	nome de uma clã exinto						
69	awali			bonito						
70	awalo			bonita	wehona takoyalo  etane  awalo kaxata					
71	awaloxi			bonitinha	netanexi awaloxi = A minha filhinha está bonitinha					
72	awe		ADV	bom	awe, yowali! = bom, meu irmão!					
73	awedali			prazeroso, gostoso	hekewakala hitala ehikokola = o seu holerite está correto					
74	awenekota		V	pensar						
75	awera			bom						
76	aweratene		V	curar						
77	aweti		S	caminho	awiti aho hani natonahana esekoyawa kaxata noheye					
78	awexiñalitiro		S	inseto						
79	awinese			quase						
80	awiñolata		V	nadar	nawinolata  nodani = eu vou nadar			https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Childrens_are_swimming_%28b%29.jpg/500px-Childrens_are_swimming_%28b%29.jpg		
81	awitaliti		S	adolescente, indivíduo em transição para fase adulta					Os meninos recebem o adorno peniano chamado de olokoiri e meninas, a tatuagem em torno do umbigo e dos seios, após a primeira menstruação. Nesta fase estão prontos para o casamento. As marcas da passagem (adorno peniano e a tatuagem) têm grande valor social, pois indicam a capacidade reprodutiva da pessoa.	
82	awitaretese		S	pre-adolescente					O menino participa de pescarias, sem o pai. Se as articulações matrimoniais já existirem, presta serviço para o sogro na plantação de uma pequena roça com o auxílio do pai para que a noiva e a sogra possam colher. A menina cuida das crianças menores, participa dos rituais, assim como os meninos desta idade.	
83	awudali			saudável						
84	casa		S	hakolo	hahali hakolone = casa de papi					
85	cortar		V	erekiotene	yowali erekiotene = meu irão está cortando					
86	criança		S	diwa	diwalise nawe akohana dane = as crianças todas estão indo tomar banho					
87	daerose			calcanhar						
88	dalalina		S	sede						
89	daraitali		S	professor						
90	daraitalo		S	professora						
91	daraiti		S	grafismo						
92	datowa		ADV	amanhã	datowa noderahana nodane = amanhã eu vou cantar					
93	dawaliti		S	grelo	akote kaxata eita owiro dawali okwaha = falaram  aquela a mulher  tem muito grelo					
94	dawati		S	machado	dawati howaxati wekakalali = o machado é feito para rachar lenha			https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Axt_Handwerk.jpg/500px-Axt_Handwerk.jpg		
95	dawerati		S	cocar	nolaweri olotawaniho  awalixi kaxata = meu  cocar está  bonitinho					
96	deraha		V	cantar	datowa noderahana nodane = amanhã eu vou cantar					
97	dinoarese		S	criança de 2 ou 3 a 6 anos					Toma banho sem os pais. Inicia o aprendizado de algumas atividades com os adultos.  Acompanha os pais na roça e nas expedições de pescas familiares. As meninas estão sempre junto da mãe.	
98	dohõ		S	calango-cego						
99	dohotakalati		S	beira do rio						
100	dokati		S	luz	nolokwatine kera = meu luz está queimado					
101	dolise		S	estrela	haita dolise nowayowa = eu já vi as estrelas			https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Starsinthesky.jpg/960px-Starsinthesky.jpg		
102	dormir		V	teokwa						
103	dotehi yokoyokoweiro		S	barro						
104	edawikatalitowine		V	viver	hotakitikwa nawinani naokota = eu viver na minha aldeia					
105	edose		S	olho			https://pt.wikipedia.org/wiki/Olho	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Ageev_iris.jpg/500px-Ageev_iris.jpg		
106	edowa		V	cair	erenahaxa edowaha hokakwaneta = foram eles que cairam na rede					
107	edowata		V	descer	kahaka nowatoli edowalata dane = ontem meu cunhado decsceu lá					
108	ehataliti		S	idoso						
109	ehekoko			correto	akote kaxata hane nolawenekoli naheitako = estou pensando muito no futuro					
110	eita		ADV	ainda						
111	ekano		S	braço	hahali kano kawenaeye = o braço do meu pai está doendo					
112	ekano watahã		S	ante-braço	yowali kanowataha kawena heye =  o anter-braço do meu irmão esta doendo					
113	ekiasese		ADJ	pequeno	ekiasese hane lolate notoma = vou fazer um pequene um cesto					
114	emirekane		S	brilho	noneti werokwairo = meu colar está brilhoso					
115	ena		S	homem	enanawe aheranaha = os  homens estão jogando  bola					
116	enawaretese		S	criança de 6 a 11					Intensificam-se os processos de transmissão do conhecimento e aprendizagem. Os meninos acompanham os pais nas pescarias e as meninas seguem para as roças com as mães.	
117	enawehorairi		S	criança de colo					Durante esta fase usa-se colares, pulseiras e tornozeleiras. Após o benzimento podem consumir o oloiti, o ketera e mel diluído em água. Os irmãos mais velhos ajudam nos cuidados diários.	
118	enawenanali		V	viver	hotakitikwa nawinani naokota = eu viver na minha aldeia					
119	enete		S	carne						
120	enokwa		S	céu	enolidi xiwena enokwa = o  avião está passando no céu					
121	enorenawe		S	seres celestiais						
122	erakoxi			perto						
123	erekiati		S	V		Família: Alligatoridae	https://pt.wikipedia.org/wiki/Jacaré	https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Fire_looped_2.gif/500px-Fire_looped_2.gif		
124	eriñali		S	veado						
125	erowali holi		ADJ	grande	howaraka holi kaxata kohase neya enowana = eu dei peixe grande para ele					
126	etehari			raiz						
127	etenedowa		S	ouvido			https://pt.wikipedia.org/wiki/Orelha	https://upload.wikimedia.org/wikipedia/commons/b/b8/Ear.jpg		
128	ewa		S	nome						
129	eyakali		S	jacaré						
130	eyolaneti		S	gordura	notikahana hane laka tewena kaxata =a lenha que busquei é ,muito pesada					
131	eyoma			branco	eyoma kaxata kekero xerase = a cabaça da minha titia é branca			https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Color_icon_white.svg/500px-Color_icon_white.svg.png		
132	eyowa		V	pegar						
133	eyowero		S	nuvem	eyomero atonahana = a nuvem está se movimentando			https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Clouds_Pirenópolis_039.jpg/600px-Clouds_Pirenópolis_039.jpg		
134	fechar		V	aitowa						
135	hahali		S	pai	hahali tonakala = carro do meu					
136	hakiowa nawenitata			às vezes						
137	hakolo			casa						
138	halataota			saliva						
139	halila		S	tucunaré		Género: Cichla	https://pt.wikipedia.org/wiki/Tucunaré	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Peacock_bass.jpg/852px-Peacock_bass.jpg		
140	halotatwa			pintura corporal						
141	halowatene			assado						
142	hanehakata		V	comer	hanewaita kohase nanina nodane mamalo hakolone akonita = hoje vou  para a casa da minha mãe para eu comer o peixe					
143	hañikaxaixi			agora						
144	haolakixini			soltar						
145	haolikwa		V	dançar	hane waita namalikwahana nodane  = vou dancçar hoje					
146	hataha		CONJ	por isso						
147	hatalani			sair						
148	hatawene			procurar						
149	hatexita			rápido						
150	haweiti		S	mutum						
151	hawiñolata		S	assobiar	nawiñolatalilie holi = eu estava assobiando					
152	hehatene		V	contar (número)	ahero haxani ehatahinã = minha avó contando quantidades filhos pelo número					
153	hekwa		V	nascer	kahaka netani hikiowa = ontem meu filho nasceu					
154	heñodowati		S	garganta	nohenodowi kawena = minha garganta está doendo					
155	henonari			amigo						
156	heñoti		S	pescoço	nodase heño ekiahi = o pescoço do sobrinho é bem fino					
157	heñotitotola		S	nuca	neñasero heñototola kawena heye = a nuca da minha sogra está doendo					
158	herawakali		S	dia	herawaka laka, hakoha hekiwakata = quando chegou a dia tomar banho e trabalhar					
159	hetalati		S	roça	nohetalikwa nahotena hani kete					
160	hetaliti			velho						
161	hetaloti			velha						
162	hetati			primeiro						
163	hiako			sombra						
164	hitixitako			sola do pé						
165	hoirako		ADJ	claro	hoirako kaxata wehakolone = nossa casa está clara					
166	hokwa		S	ciúme						
167	hokwa		S	rede (de dormir) -- forma não possuída.						
168	holakalali			velho (coisa)						
169	holiwititi			suor						
170	holoti			vento						
171	honanesikati			semente						
172	horatero			maduro				https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Color_icon_green.svg/500px-Color_icon_green.svg.png		
173	horatero			verde	weharane horalio = nossa a bola é verde			https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Color_icon_green.svg/500px-Color_icon_green.svg.png		
174	hoserese		S	coruja-buraqueira		Athene cunicularia	https://pt.wikipedia.org/wiki/Coruja-buraqueira	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Athene_cunicularia_1_edited.JPG/960px-Athene_cunicularia_1_edited.JPG		
175	hosoli			canhoto; pessoa que utiliza mais os membros esquerdos para tarefas cotidianas			https://pt.wikipedia.org/wiki/Canhoto			
176	hotaka		V	desaparecer	nowatoli hotaka noniti  = meu cunhado desapareceu					
177	hotaka			perder						
178	hotakiti			aldeia						
179	hotetero			verde	kokoli mailine hotetero = a camiseta do meu titio é azul					
180	howaraka holi		ADJ	grande	erowali holi kaxata kohase neya enowana = eu dei peixe grande para ele					
181	hoxirõ		S	colar						
182	huiratero			azul	kokoli mailine hotetero = a camiseta do meu titio é azul					
183	idaiti		S	esperma						
184	ihaiti			maduro						
185	ihaka			satisfeito, bem alimentado, saciado						
186	ihakahã		V	dar comida, alimentar						
187	ihalateokwari		S	costela						
188	ihalokwase			alto						
189	ihalosese			baixo						
190	iharese		S	pessoa de baixa estatura, anão						
191	ihãtene		V	contar, enumerar						
192	ihati		S	pé de árvore; planta madura						
193	iherane		S	adorno peniano						
194	ihiniri		ADV	nas costas						
195	ihino		S	pescoço						
196	ihirikio			sapeca, levado						
197	ihiyi		POSP	a, para. Posposição terceira pessoa do sigular						
198	iholaxi			bebê						
199	ihõna		S	folha						
200	ihono		S	larva (termo genérico)						
201	ihose		S	coxa						
202	ihõse		S	mutuca		Família: Tabanidae	https://pt.wikipedia.org/wiki/Tabanídeos	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Daas_op_been_%28omgeving_Goor%29.jpg/800px-Daas_op_been_%28omgeving_Goor%29.jpg		
203	ikatese		S	dente						
204	ikehi			fraco						
205	ikeilitala		S	joelho						
206	iketa		PRON	o quê?						
207	ikewala		ADV	de outro modo						
208	ikexari		S	entrada						
209	ikianawe		NUM	dois						
210	ikiano		S	braço						
211	ikianotata		S	ombro						
212	ikiari		ADV	assim, igual						
213	ikiarita		ADV	é assim						
214	ikiata		V	afirmar						
215	ikiaxixi			pouco						
216	ikiñoliti		S	tornozelo						
217	ikixi		S	pé			https://pt.wikipedia.org/wiki/Pé	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Стопа.png/500px-Стопа.png		
218	iniakahare		S	animal (termo genérico)						
219	iniriti		S	costas						
220	inõti		S	não indígena						
221	irikiatihi		S	isqueiro			https://pt.wikipedia.org/wiki/Isqueiro	https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Zippo-Slim-1968-Lit.jpg/500px-Zippo-Slim-1968-Lit.jpg		
222	irikota		V	cortar madeira						
223	itawaserati		S	costas						
224	ixine		S	onça			https://pt.wikipedia.org/wiki/Panthera_onca	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Jaguar_%28Panthera_onca_palustris%29_female_Piquiri_River_2.JPG/960px-Jaguar_%28Panthera_onca_palustris%29_female_Piquiri_River_2.JPG		
225	kailiti		S	nariz	nokali kaweina noheye = meu nariz está doendo			https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Neus1.jpg/500px-Neus1.jpg		
226	kaira		S	floresta	awali holi ekione kaira ekione kaxata hane nodane = hoje eu foi numa floresta muito bonita			https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/A_vista_de_cima_do_Pico.jpg/2560px-A_vista_de_cima_do_Pico.jpg		
227	kalitalati		S	joelho	nokalitali kawena noheye = meu joelho está doendo					
228	kalo		S	arara						
229	kalokano		S	pena	kalokano okoli kanohañali = a pena de arara é para fazer flecha					
230	kamaneti / kamati/mani		S	morte	mamalo hola kaxolo mani  = o cachorro da minha mãe está morto					
231	kame		S	sol			https://pt.wikipedia.org/wiki/Sol	https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/The_Sun_in_white_light.jpg/960px-The_Sun_in_white_light.jpg		
232	kanase		S	boca						
233	kanaseti		S	boca	nokanase heye notalokwe = eu mordo meu lábio					
234	kanotonowerati		S	cotovelo	mamalo kanotonera kalosali =  o cotovelo da minha mãe está machucado					
235	kaseti		S	perna	nokase takioha = minha perna está quebrada					
236	katala			azedo						
237	katerokwa		V	pular	hekiaterokwa = você pular					
238	kaweira		V	mato	noheroñali kohesetikwene kotaha dane = meu amigo foi cagar no mato					
239	kaxata		ADV	muito						
240	kaxolo		S	cachorro	kaxolo kenase = cachorro é um animal					
241	kayali		S	pacu		Família: Myleinae	https://pt.wikipedia.org/wiki/Pacu	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Pacu_shedd.jpg/960px-Pacu_shedd.jpg		
242	kayanetoli			casar(-se)	kahaka yowali kayaneto = ontem meu irmão se casou					
243	kayi		S	lua	hakaikeyowa kaye hikoita = a lua nasce de anoite			https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/FullMoon2010.jpg/960px-FullMoon2010.jpg		
244	kayolohe		S	areia	kayolowekwa nodane = vou para praia					
